arm,n,wall_med,wall_iqr,MBps_med,MBps_iqr,runs_ok_med,runs_exp,peak_rss_MB,cpu_pct_med,conc_med,conc_max,conc_host_max,workers_max,timeouts,nonzero_rc,formats,success_pct
adaptiseq-fixed-j20,2,285.9,85.5,99.4,29.73,8.0,8,85.0,56.0,16.0,30,30,16,0,0,gz,100.0
adaptiseq-fixed-j40,2,372.8,182.8,91.4,44.83,8.0,8,81.0,50.0,11.5,25,25,16,0,0,gz,100.0
adaptiseq-fixed-j8,2,311.6,64.2,86.72,17.88,8.0,8,76.0,56.0,15.5,20,20,8,0,0,gz,100.0
adaptiseq-adaptive-j20,2,407.9,124.5,69.96,21.36,8.0,8,86.0,42.0,6.0,25,25,14,0,0,gz,100.0
adaptiseq-adaptive-j40,2,453.5,20.8,57.17,2.62,8.0,8,76.0,37.0,6.5,25,25,15,0,0,gz,100.0
iseq-p8,2,797.6,187.8,34.34,8.09,8.0,8,10.0,30.0,8.0,8,8,0,0,0,gz,100.0
kingfisher,2,1042.7,113.3,24.05,1.67,7.5,8,120.0,58.0,5.0,6,6,0,0,1,gz,93.8
iseq,2,2515.5,815.4,11.5,3.72,8.0,8,10.0,10.0,1.0,1,1,0,0,0,gz,100.0
fastq-dl,2,2380.2,59.7,10.88,0.27,8.0,8,143.0,4.0,1.0,1,1,0,0,0,gz,100.0
