arm,n,wall_med,wall_iqr,MBps_med,MBps_iqr,runs_ok_med,runs_exp,peak_rss_MB,cpu_pct_med,conc_med,conc_max,conc_host_max,workers_max,timeouts,nonzero_rc,formats,success_pct
adaptiseq-fixed-j40,1,1.7,0.0,0.03,0.0,3.0,3,51.0,61.0,3.0,3,3,3,0,0,gz,100.0
adaptiseq-adaptive-j20,1,1.9,0.0,0.03,0.0,3.0,3,51.0,59.0,2.0,3,3,2,0,0,gz,100.0
adaptiseq-fixed-j20,1,1.8,0.0,0.03,0.0,3.0,3,51.0,62.0,3.0,3,3,3,0,0,gz,100.0
adaptiseq-adaptive-j40,1,1.8,0.0,0.03,0.0,3.0,3,51.0,58.0,2.0,3,3,2,0,0,gz,100.0
adaptiseq-fixed-j8,1,2.3,0.0,0.02,0.0,3.0,3,52.0,49.0,3.0,3,3,3,0,0,gz,100.0
kingfisher,1,7.8,0.0,0.01,0.0,3.0,3,120.0,18.0,1.0,1,1,0,0,0,gz,100.0
fastq-dl,1,7.2,0.0,0.01,0.0,3.0,3,126.0,55.0,1.0,1,1,0,0,0,gz,100.0
iseq,1,11.5,0.0,0.0,0.0,3.0,3,10.0,3.0,1.0,1,1,0,0,0,gz,100.0
iseq-p8,1,11.3,0.0,0.0,0.0,3.0,3,10.0,3.0,1.0,1,1,0,0,0,gz,100.0
