arm,n,wall_med,wall_iqr,MBps_med,MBps_iqr,runs_ok_med,runs_exp,peak_rss_MB,cpu_pct_med,conc_med,conc_max,conc_host_max,workers_max,timeouts,nonzero_rc,formats,success_pct
adaptiseq-fixed-j20,3,204.2,20.2,21.64,1.98,200.0,201,69.0,16.0,9.0,20,20,20,0,3,gz,99.5
adaptiseq-adaptive-j40,3,338.8,142.2,13.04,6.92,200.0,201,63.0,15.0,6.0,15,15,15,0,2,gz,99.5
adaptiseq-adaptive-j20,3,367.2,27.6,12.03,0.94,200.0,201,64.0,14.0,3.0,17,17,17,0,2,gz,99.5
adaptiseq-fixed-j8,3,369.2,34.4,11.97,1.24,201.0,201,59.0,11.0,8.0,8,8,8,0,1,gz,100.0
kingfisher,3,522.1,123.5,7.02,0.68,115.0,201,120.0,18.0,1.0,5,5,0,0,2,gz,57.2
iseq-p8,3,992.7,49.2,4.45,0.21,200.0,201,10.0,6.0,1.0,8,8,0,0,2,"gz,gz,none",99.5
adaptiseq-fixed-j40,3,1089.4,717.3,4.06,6.62,200.0,201,71.0,3.0,1.0,54,54,40,0,2,gz,99.5
fastq-dl,3,1501.3,471.0,2.94,0.83,200.0,201,143.0,18.0,1.0,1,1,0,0,0,gz,99.5
iseq,3,1979.6,683.0,2.23,0.79,200.0,201,10.0,3.0,1.0,1,1,0,0,2,gz,99.5
