arm,n,wall_med,wall_iqr,MBps_med,MBps_iqr,runs_ok_med,runs_exp,peak_rss_MB,cpu_pct_med,conc_med,conc_max,conc_host_max,workers_max,timeouts,nonzero_rc,formats,success_pct
kingfisher,3,40.9,0.3,5.33,0.04,12.0,12,120.0,18.0,1.0,5,5,0,0,3,gz,100.0
fastq-dl,3,88.3,6.3,2.47,0.17,12.0,12,800.0,166.0,2.0,26,23,0,0,3,"gz,jsonl",100.0
iseq-p8,3,444.8,45.8,0.49,0.05,12.0,12,1033.0,252.0,7.0,8,8,0,0,3,"gz,none",100.0
adaptiseq-fixed-j40,3,457.6,1.9,0.48,0.01,12.0,12,1035.0,243.0,1.0,18,12,18,0,3,"gz,none",100.0
adaptiseq-adaptive-j40,3,495.3,43.1,0.44,0.04,12.0,12,1034.0,225.0,2.0,6,6,5,0,3,"gz,none",100.0
adaptiseq-adaptive-j20,3,502.4,73.5,0.43,0.06,12.0,12,1034.0,222.0,1.0,6,6,4,0,3,"gz,none",100.0
adaptiseq-fixed-j8,3,553.6,108.3,0.39,0.08,12.0,12,1035.0,202.0,1.0,14,8,8,0,3,"gz,none",100.0
adaptiseq-fixed-j20,3,561.6,130.5,0.39,0.11,12.0,12,1035.0,199.0,1.0,18,12,18,0,3,"gz,none",100.0
iseq,3,955.3,242.0,0.23,0.05,12.0,12,1033.0,117.0,1.0,1,1,0,0,3,"gz,none",100.0
