t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
72.12	135.8	0.0	0.00	2.08	3
72.63	113.8	93.2	0.00	2.08	1
73.13	113.8	98.9	0.00	0.00	1
73.64	113.8	100.9	0.00	0.00	1
74.14	113.8	100.9	0.00	0.00	1
74.65	113.8	98.9	0.00	0.00	1
75.15	115.3	140.5	0.00	0.00	2
75.66	115.3	154.8	0.00	0.00	2
76.16	115.3	154.8	0.00	0.00	2
76.66	115.3	150.8	0.00	0.00	2
77.17	115.3	150.9	0.00	0.00	2
77.67	115.3	152.9	0.00	0.00	2
78.18	115.3	146.9	0.00	0.00	2
78.68	115.3	152.7	0.00	0.00	2
79.18	115.3	148.9	0.00	0.00	2
79.69	115.3	152.9	0.00	0.00	2
80.19	115.3	147.0	0.00	0.00	2
80.69	115.3	154.8	0.00	0.00	2
81.20	115.3	150.9	0.00	0.00	2
81.70	115.3	154.9	0.00	0.00	2
82.21	115.3	156.9	0.00	0.00	2
82.71	115.3	154.9	0.00	0.00	2
83.21	115.3	158.9	0.00	0.00	2
83.72	115.3	156.9	0.00	0.00	2
84.22	115.3	156.9	0.00	0.00	2
84.72	115.3	156.9	0.00	0.00	2
85.23	115.3	158.9	0.00	0.00	2
85.73	115.3	158.9	0.00	0.00	2
86.23	115.3	160.9	0.00	0.00	2
86.74	115.3	158.7	0.00	0.00	2
87.24	115.3	160.9	0.00	0.00	2
87.75	115.3	160.8	0.00	0.00	2
88.25	115.3	160.9	0.00	0.00	2
88.75	115.3	154.8	0.00	0.00	2
89.26	115.3	160.9	0.00	0.00	2
89.76	115.3	158.9	0.00	0.00	2
90.26	115.3	162.9	0.00	0.00	2
90.77	115.3	158.7	0.00	0.00	2
91.27	115.3	162.8	0.00	0.00	2
91.77	115.3	158.9	0.00	0.00	2
92.28	115.3	160.7	0.00	0.00	2
92.78	115.3	150.9	0.00	0.00	2
93.29	115.3	156.9	0.00	0.00	2
93.79	115.3	156.8	0.00	0.00	2
94.29	115.3	150.8	0.00	0.00	2
94.80	115.3	156.9	0.00	0.00	2
95.30	115.3	101.3	0.00	0.00	2
95.80	115.3	156.9	0.00	0.00	2
96.31	115.3	158.8	0.00	0.00	2
96.81	115.3	154.7	0.00	0.00	2
97.32	115.3	160.8	0.00	0.00	2
97.82	115.3	162.8	0.00	0.00	2
98.32	115.3	160.6	0.00	0.00	2
98.83	115.3	160.8	0.00	0.00	2
99.33	115.3	162.8	0.00	0.00	2
99.84	115.3	160.8	0.00	0.00	2
100.34	115.3	156.9	0.00	0.00	2
100.84	115.3	156.7	0.00	0.00	2
101.35	115.3	154.8	0.00	0.00	2
101.85	115.3	156.8	0.00	0.00	2
102.35	115.3	158.7	0.00	0.00	2
102.86	115.3	156.7	0.00	0.00	2
103.36	115.3	154.9	0.00	0.00	2
103.87	115.3	156.8	0.00	0.00	2
104.37	115.3	156.8	0.00	0.00	2
104.87	115.3	152.8	0.00	0.00	2
105.38	115.3	154.8	0.00	0.00	2
105.88	115.3	156.9	0.00	0.00	2
106.39	115.3	156.8	0.00	0.00	2
106.89	115.3	154.8	0.00	0.00	2
107.39	115.3	156.8	0.00	0.00	2
107.90	115.3	154.8	0.00	0.00	2
108.40	115.3	154.7	0.00	0.00	2
108.90	115.3	152.9	0.00	0.00	2
109.41	115.3	154.7	0.00	0.00	2
109.91	115.3	154.8	0.00	0.00	2
110.42	115.3	156.8	0.00	0.00	2
110.92	115.3	150.9	0.00	0.00	2
111.42	115.3	150.8	0.00	0.00	2
111.93	115.3	156.7	0.00	0.00	2
112.43	115.3	152.8	0.00	0.00	2
112.94	115.3	154.8	0.00	0.00	2
113.44	115.3	156.8	0.00	0.00	2
113.94	115.3	154.9	0.00	0.00	2
114.45	115.3	152.9	0.00	0.00	2
114.95	115.3	154.8	0.00	0.00	2
115.46	115.3	156.7	0.00	0.00	2
115.96	115.3	154.7	0.00	0.00	2
116.46	115.3	154.9	0.00	0.00	2
116.97	0.0	0.0	0.00	0.00	0
