t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
72.01	49.4	9.9	0.00	9.30	1
72.52	49.4	7.9	0.00	7.07	1
73.02	49.4	9.9	0.00	7.10	1
73.53	49.4	9.9	0.00	7.92	1
74.03	49.4	11.9	0.00	7.55	1
74.53	49.4	9.9	0.00	7.53	1
75.04	49.4	9.9	0.00	8.06	1
75.54	49.4	7.9	0.00	6.96	1
76.04	49.4	7.9	0.00	6.15	1
76.55	49.4	9.9	0.00	5.88	1
77.05	49.4	6.0	0.00	5.00	1
77.55	49.4	7.9	0.00	4.70	1
78.06	49.4	7.9	0.00	4.68	1
78.56	49.4	6.0	0.00	4.69	1
79.06	49.4	7.9	0.00	4.63	1
79.57	49.4	7.9	0.00	4.88	1
80.07	49.4	9.9	0.00	4.87	1
80.58	49.4	7.9	0.00	4.96	1
81.08	49.4	7.9	0.00	4.87	1
81.58	49.4	7.9	0.00	5.09	1
82.09	49.4	7.9	0.00	5.19	1
82.59	49.4	7.9	0.00	5.07	1
83.09	49.4	7.9	0.00	5.11	1
83.60	49.4	9.9	0.00	5.41	1
84.10	49.4	7.9	0.00	5.69	1
84.60	49.4	11.9	0.00	5.87	1
85.11	49.4	9.9	0.00	6.29	1
85.61	49.4	9.9	0.00	6.99	1
86.11	49.4	9.9	0.00	6.88	1
86.62	49.4	9.9	0.00	7.28	1
87.12	49.4	9.9	0.00	6.61	1
87.63	49.4	9.9	0.00	6.86	1
88.13	49.4	11.9	0.00	7.26	1
88.63	49.4	9.9	0.00	7.62	1
89.14	49.4	13.9	0.00	7.94	1
89.64	49.4	9.9	0.00	7.81	1
90.14	49.4	13.9	0.00	7.46	1
90.65	49.4	13.9	0.00	7.62	1
91.15	49.4	13.9	0.00	7.99	1
91.65	49.4	9.9	0.00	8.02	1
92.16	49.4	13.9	0.00	7.80	1
92.66	49.4	13.9	0.00	8.18	1
93.16	49.4	13.9	0.00	6.93	1
93.67	49.4	7.9	0.00	7.47	1
94.17	49.4	11.9	0.00	6.61	1
94.67	49.4	11.9	0.00	6.82	1
95.18	49.4	13.9	0.00	6.87	1
95.68	49.4	13.9	0.00	7.13	1
96.19	49.4	15.9	0.00	7.19	1
96.69	49.4	11.9	0.00	7.31	1
97.19	49.4	11.9	0.00	7.69	1
97.70	49.4	13.9	0.00	7.76	1
98.20	49.4	13.9	0.00	7.66	1
98.70	49.4	11.9	0.00	8.27	1
99.21	49.4	13.9	0.00	8.17	1
99.71	49.4	9.9	0.00	8.22	1
100.21	49.4	7.9	0.00	7.20	1
100.72	49.4	6.0	0.00	3.08	1
101.22	49.4	2.0	0.00	2.98	1
101.73	49.4	4.0	0.00	2.93	1
102.23	49.4	2.0	0.00	3.14	1
102.73	49.4	6.0	0.00	3.38	1
103.24	49.4	6.0	0.00	3.60	1
103.74	49.4	2.0	0.00	3.54	1
104.24	49.4	6.0	0.00	3.43	1
104.75	49.4	2.0	0.00	2.92	1
105.25	49.4	4.0	0.00	3.58	1
105.75	49.4	4.0	0.00	3.69	1
106.26	49.4	4.0	0.00	3.83	1
106.76	49.4	7.9	0.00	3.98	1
107.26	49.4	4.0	0.00	3.90	1
107.77	49.4	6.0	0.00	4.20	1
108.27	49.4	4.0	0.00	4.26	1
108.77	49.4	7.9	0.00	3.90	1
109.28	49.4	4.0	0.00	4.24	1
109.78	49.4	6.0	0.00	4.29	1
110.29	49.4	6.0	0.00	4.21	1
110.79	49.4	7.9	0.00	4.28	1
111.29	49.4	6.0	0.00	4.13	1
111.80	49.4	7.9	0.00	4.46	1
112.30	49.4	4.0	0.00	4.57	1
112.80	49.4	7.9	0.00	4.29	1
113.31	49.4	6.0	0.00	4.94	1
113.81	49.4	7.9	0.00	5.28	1
114.31	49.4	9.9	0.00	5.58	1
114.82	49.4	6.0	0.00	6.02	1
115.32	49.4	7.9	0.00	5.99	1
115.82	49.4	7.9	0.00	6.01	1
116.33	49.4	9.9	0.00	6.74	1
116.83	49.4	6.0	0.00	6.16	1
117.33	49.4	7.9	0.00	6.91	1
117.84	49.4	6.0	0.00	6.81	1
118.34	49.4	6.0	0.00	6.17	1
118.85	49.4	7.9	0.00	6.12	1
119.35	49.4	7.9	0.00	6.73	1
119.85	49.4	7.9	0.00	6.86	1
120.36	49.4	9.9	0.00	6.66	1
120.86	49.4	9.9	0.00	7.42	1
121.37	49.4	5.9	0.00	5.88	1
121.87	49.4	7.9	0.00	5.61	1
122.37	49.4	6.0	0.00	5.80	1
122.88	49.4	9.9	0.00	6.02	1
123.38	49.4	7.9	0.00	6.33	1
123.88	49.4	9.9	0.00	6.19	1
124.39	49.4	7.9	0.00	6.31	1
124.89	49.4	9.9	0.00	6.65	1
125.40	49.4	9.9	0.00	6.57	1
125.90	49.4	9.9	0.00	6.62	1
126.40	49.4	9.9	0.00	6.32	1
126.91	49.4	7.9	0.00	6.57	1
127.41	49.4	6.0	0.00	6.20	1
127.91	49.4	6.0	0.00	4.57	1
128.42	49.4	6.0	0.00	5.28	1
128.92	49.4	9.9	0.00	5.76	1
129.42	49.4	7.9	0.00	5.95	1
129.93	49.4	7.9	0.00	6.15	1
130.43	49.4	9.9	0.00	6.14	1
130.94	49.4	9.9	0.00	6.47	1
131.44	49.4	6.0	0.00	5.51	1
131.94	49.4	6.0	0.00	4.92	1
132.45	49.4	6.0	0.00	4.49	1
132.95	49.4	4.0	0.00	3.91	1
133.45	49.4	6.0	0.00	3.68	1
133.96	49.4	6.0	0.00	3.96	1
134.46	49.4	5.9	0.00	3.95	1
134.97	49.4	7.9	0.00	4.15	1
135.47	49.4	6.0	0.00	4.24	1
135.97	49.4	7.9	0.00	4.28	1
136.48	49.4	7.9	0.00	4.28	1
136.98	49.4	7.9	0.00	4.30	1
137.49	49.4	6.0	0.00	4.32	1
137.99	49.4	5.9	0.00	4.17	1
138.49	49.4	9.9	0.00	4.21	1
139.00	49.4	6.0	0.00	3.99	1
139.50	49.4	7.9	0.00	3.94	1
140.01	49.4	5.9	0.00	4.09	1
140.51	49.4	7.9	0.00	4.32	1
141.01	49.4	7.9	0.00	4.48	1
141.52	49.4	5.9	0.00	4.70	1
142.02	49.4	7.9	0.00	4.92	1
142.53	49.4	7.9	0.00	4.91	1
143.03	49.4	7.9	0.00	5.38	1
143.53	49.4	9.9	0.00	5.78	1
144.04	49.4	6.0	0.00	6.03	1
144.54	49.4	9.9	0.00	6.13	1
145.05	49.4	7.9	0.00	5.39	1
145.55	49.4	7.9	0.00	5.71	1
146.06	49.4	11.9	0.00	5.96	1
146.56	49.4	7.9	0.00	6.01	1
147.06	49.4	7.9	0.00	6.36	1
147.57	49.4	9.9	0.00	6.77	1
148.07	49.4	9.9	0.00	6.89	1
148.58	49.4	7.9	0.00	6.28	1
149.08	49.4	7.9	0.00	6.02	1
149.58	49.4	5.9	0.00	5.76	1
150.09	49.4	7.9	0.00	5.97	1
150.59	49.4	4.0	0.00	5.31	1
151.10	49.4	6.0	0.00	4.13	1
151.60	49.4	4.0	0.00	2.01	1
152.11	49.4	4.0	0.00	2.10	1
152.61	49.4	4.0	0.00	2.13	1
153.11	49.4	4.0	0.00	2.21	1
153.62	49.4	2.0	0.00	2.07	1
154.12	49.4	2.0	0.00	1.98	1
154.63	49.4	2.0	0.00	1.63	1
155.13	49.4	4.0	0.00	1.85	1
155.63	49.4	4.0	0.00	1.94	1
156.14	49.4	4.0	0.00	2.01	1
156.64	49.4	2.0	0.00	2.12	1
157.15	49.4	2.0	0.00	1.75	1
157.65	49.4	4.0	0.00	1.62	1
158.16	49.4	2.0	0.00	1.64	1
158.66	49.4	4.0	0.00	1.80	1
159.16	49.4	2.0	0.00	1.80	1
159.67	49.4	4.0	0.00	1.81	1
160.17	49.4	4.0	0.00	1.80	1
160.68	49.4	4.0	0.00	1.86	1
161.18	49.4	0.0	0.00	1.55	1
161.68	49.4	6.0	0.00	1.41	1
162.19	49.4	2.0	0.00	1.50	1
162.70	49.4	2.0	0.00	1.66	1
163.20	49.4	4.0	0.00	1.67	1
163.70	49.4	4.0	0.00	1.81	1
164.21	49.4	2.0	0.00	1.78	1
164.71	49.4	4.0	0.00	1.83	1
165.22	49.4	4.0	0.00	1.78	1
165.72	49.4	2.0	0.00	1.87	1
166.22	49.4	4.0	0.00	1.81	1
166.73	49.4	6.0	0.00	1.89	1
167.23	49.4	2.0	0.00	1.76	1
167.73	49.4	4.0	0.00	1.90	1
168.24	49.4	4.0	0.00	1.86	1
168.74	49.4	6.0	0.00	1.94	1
169.25	49.4	4.0	0.00	1.97	1
169.75	49.4	4.0	0.00	2.10	1
