t_rel_s	workers	mbps
4.14	2	0.00
4.54	2	0.00
4.94	2	0.00
5.34	2	0.21
5.74	2	0.21
6.14	2	0.88
6.54	2	0.88
6.94	2	0.88
7.35	2	55.32
7.75	2	55.32
8.15	2	411.54
8.55	2	411.54
8.95	2	411.54
9.35	2	410.98
9.75	2	410.98
10.15	2	528.80
10.55	2	528.80
10.95	2	528.80
11.35	2	787.84
11.75	2	787.84
12.15	6	622.04
12.55	6	622.04
12.95	6	622.04
13.35	6	1439.38
13.76	5	1439.38
14.16	5	1873.65
14.56	5	1873.65
14.96	5	1873.65
15.36	5	1784.07
15.76	5	1784.07
16.17	5	1899.53
16.57	5	1899.53
16.97	5	1899.53
17.37	5	1784.89
17.77	5	1784.89
18.17	5	1737.10
18.58	5	1737.10
18.98	5	1737.10
19.38	5	1827.51
19.78	4	1827.51
20.18	4	1622.11
20.58	4	1622.11
20.98	4	1622.11
21.38	3	1539.31
21.78	3	1539.31
22.18	3	1280.40
22.58	3	1280.40
22.99	3	1280.40
23.39	2	1143.90
23.79	2	1143.90
24.19	2	793.71
24.59	2	793.71
24.99	1	793.71
25.39	1	623.44
25.79	1	623.44
25.83	0	623.44
