t_rel_s	workers	mbps
5.00	2	0.00
5.40	2	0.00
5.80	2	0.00
6.20	2	0.00
6.60	2	0.00
7.00	2	1.09
7.40	2	1.09
7.80	2	1.09
8.20	2	1.08
8.60	2	1.08
9.00	2	131.18
9.40	2	131.18
9.80	2	131.18
10.20	1	131.22
10.60	1	131.22
11.01	1	170.03
11.41	1	170.03
11.81	1	170.03
12.21	1	163.25
12.61	1	163.25
13.01	1	188.18
13.41	1	188.18
13.81	1	188.18
14.21	1	149.28
14.61	1	149.28
15.01	2	114.93
15.41	2	114.93
15.81	2	114.93
16.21	2	87.16
16.61	2	87.16
17.01	2	59.31
17.41	2	59.31
17.81	2	59.31
18.21	2	126.09
18.61	2	126.09
19.02	2	330.00
19.42	2	330.00
19.82	2	330.00
20.22	1	475.62
20.62	1	475.62
21.02	1	454.41
21.42	1	454.41
21.82	1	454.41
22.22	1	534.55
22.62	1	534.55
23.02	1	463.31
23.42	1	463.31
23.82	1	463.31
24.22	1	498.96
24.62	1	498.96
25.02	1	482.67
25.42	1	482.67
25.82	1	482.67
26.22	1	447.65
26.62	1	447.65
27.02	1	491.76
27.42	1	491.76
27.82	1	491.76
28.22	1	791.99
28.63	1	791.99
29.03	1	668.63
29.43	1	668.63
29.83	1	668.63
30.23	2	402.47
30.63	2	402.47
31.03	2	636.99
31.43	2	636.99
31.83	2	636.99
32.23	2	895.79
32.63	2	895.79
33.03	2	814.39
33.43	2	814.39
33.83	2	814.39
34.23	2	804.83
34.63	2	804.83
35.03	3	769.65
35.43	3	769.65
35.84	3	769.65
36.24	3	1019.08
36.64	3	1019.08
37.04	3	1397.32
37.44	3	1397.32
37.84	3	1397.32
38.24	3	1275.01
38.64	3	1275.01
39.04	3	1327.17
39.44	3	1327.17
39.84	3	1327.17
40.24	3	1196.35
40.64	3	1196.35
41.04	3	1322.90
41.44	3	1322.90
41.84	3	1322.90
42.24	3	1282.57
42.65	2	1282.57
43.05	1	1139.68
43.45	1	1139.68
43.85	1	1139.68
44.25	1	427.34
44.65	1	427.34
45.05	1	478.77
45.45	1	478.77
45.75	0	478.77
